bath,gray,img
15.4,0.09549314,2
16.1,0.116231577,4
16.3,0.128827196,6
16.5,0.124063947,7
16.7,0.125973,10
17.1,0.131337293,12
18.2,0.151681601,14
18.4,0.154293864,16
19.1,0.136085791,18
19.7,0.186259042,20
20.2,0.197340452,22
20.6,0.211740823,25
21.2,0.234024241,28
21.4,0.245750876,31
21.7,0.25099977,34
29.9,0.26688321,37
22.3,0.263486489,40
22.5,0.273505472,43
22.8,0.302735038,46
23.4,0.312443562,49
23.7,0.312111168,52
23.9,0.325268935,55
24.5,0.331621468,58
24.8,0.338078155,61
25.1,0.368667833,64
25.5,0.358707413,68
25.9,0.376230624,72
26.2,0.378334253,76
26.4,0.376744137,80
27,0.393179891,84
27.4,0.39534027,88
28,0.400798349,92
28.2,0.417135974,96
28.6,0.414554902,100
29.6,0.429077019,104
29.8,0.471975873,108
30.2,0.465624982,112
30.6,0.487446444,116
31.3,0.478981603,120
31.6,0.494725742,124
32,0.512391016,128
32.4,0.533266178,132
32.9,0.533008831,136
33.4,0.52717509,140
34,0.551101346,144
34.5,0.558650086,148
34.9,0.588714484,152
35.3,0.603686563,155
35.6,0.591790694,158
36.4,0.616844804,161
36.6,0.664127707,164
37.1,0.609302005,167
37.5,0.631175936,170
38,0.661590594,173
38.7,0.58915558,176
39,0.690234893,179
39.5,0.675932704,182
39.8,0.713948563,185
40.3,0.720145865,188
40.8,0.724018125,191
41.2,0.756615463,194
41.7,0.73615469,197
42.5,0.758897099,200
43.3,0.78112784,203
43.9,0.768142712,206
44.4,0.759443101,209
